# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 16 09:22:14 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,ttv_flag,st_teff,st_mass,st_age,ra,dec,sy_dist
11 Com b,11 Com,1,2,1,Radial Velocity,2007,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21000000,1.178000,,,4914.89849,,0.238000,,0,4874.00,2.09,,185.1787793,17.7932516,93.1846000
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997000,1.530000,,,4684.81420,,0.080000,,0,4213.00,2.78,,229.2745954,71.8239428,125.3210000
14 And b,14 And,1,1,1,Radial Velocity,2008,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,186.76000000,0.775000,,,1131.15130,,0.000000,,0,4888.00,1.78,,352.8241500,39.2358367,75.4392000
14 Her b,14 Her,1,1,2,Radial Velocity,2002,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1765.03890000,2.774000,,,2559.47216,,0.373000,,0,,0.91,,242.6021014,43.8163621,17.9323000
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.50000000,1.660000,,,565.73740,,0.680000,,0,5750.00,1.08,,295.4656422,50.5168243,21.1397000
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38000000,1.450000,,,1373.01872,,0.060000,,0,4157.00,1.22,5.130,243.4620874,-11.8377905,124.9530000
18 Del b,18 Del,1,2,1,Radial Velocity,2008,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,982.85000000,2.476000,,,2926.24614,,0.024000,,0,4980.00,2.10,,314.6078375,10.8391378,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,330.000000,,,3000.00000,,,1700,0,4060.00,0.85,0.005,242.3762343,-21.0831403,139.1350000
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,30.33000000,0.194000,,,280.64248,,0.032000,,0,4816.00,1.05,,217.1555242,49.8446488,95.9863000
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.80000000,1.333000,,,632.46000,,0.090000,,0,5098.00,1.54,2.700,155.8684866,-0.9023998,72.0691000
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,883.00000000,2.080000,,,273.32000,,0.290000,,0,5098.00,1.54,2.700,155.8684866,-0.9023998,72.0691000
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,<a refstr=GAIDOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2819G/abstract target=ref>Gaidos et al. 2021</a>,,118.000000,,,1271.31363,,,1450,0,3100.00,0.17,2.500,69.3405531,26.8502997,128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,,84.000000,,,4131.79000,,,,0,,0.19,0.030,15.8992489,-55.2658291,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,,52.000000,,,7786.50000,,,,0,3530.00,0.40,0.120,20.7128012,-24.6646128,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,156.000000,16.141,1.440,4417.83700,,,,0,3064.00,0.11,0.035,34.8427046,-39.4230767,
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,<a refstr=DUPUY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...57D/abstract target=ref>Dupuy et al. 2018</a>,,1950.000000,,,3686.80952,,,,0,,0.05,0.022,42.4851627,-5.9599921,66.0613000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,572.000000,,,5720.91133,,,2369,0,,,,59.7911026,20.1599759,117.4350000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,,15.000000,,,2383.60000,,,,0,,0.02,0.001,70.4371079,23.0308544,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,266.000000,,,8899.19540,,,2677,0,,,,165.3295388,-77.5440912,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,587.000000,,,6356.56814,,,2506,0,,,,178.7691634,-79.3197558,100.8620000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,,55.000000,,,1589.15000,,,1250,0,,0.02,0.008,181.8890906,-39.5484399,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.00000000,,,,591.16084,,0.330000,,0,29564.00,0.48,,294.6359173,46.0664076,396.3320000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,7493.000000,,,3813.94088,,,1616,0,,,,321.3662989,-81.6414894,34.1154000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,,230.000000,,,3972.87500,,,,0,4045.00,0.60,0.120,339.1025931,47.8616830,69.5737000
